Year,MinTemp,MaxTemp
1950,-42,29.4
1951,-42,28.5
1952,-35.5,30.4
1953,-38.4,32.2
1954,-36,30.5
1955,-41.2,32.2
1956,-45,33
1957,-37.8,29.8
1958,-43,30.8
1959,-43.6,32.8
1960,-40,29.4
1961,-39.5,31
1962,-42,27.4
1963,-41,31
1964,-39.5,31.2
1965,-44,28.5
1966,-49.4,33.5
1967,-45.4,29.5
1968,-42,33.7
1969,-41.5,32
1970,-39.6,33.2
1971,-44.3,31.2
1972,-37.5,31.2
1973,-39.3,32.2
1974,-35.6,30.6
1975,-37,36.1
1976,-42.2,31.1
1977,-42.5,31.8
1978,-47.7,30.8
1979,-44,32
1980,-45,30.4
1981,-44,29.7
1982,-42.2,33.8
1983,-38.2,33.3
1984,-39.2,29.5
1985,-43.4,29.8
1986,-44.2,33.2
1987,-47.3,29.6
1988,-39.9,32.6
1989,-38.2,33.9
1990,-35,30.2
1991,-39.3,32.7
1992,-36.1,35.4
1993,-39,29.7
1994,-40.5,34.7
1995,-37.6,30.8
1996,-41.7,30.8
1997,-40.2,31.8
1998,-42.7,29.2
1999,-49,32.4
2000,-37.6,33
2001,-44,31.9
2002,-42.2,33.3
2003,-41.5,32.2
2004,-39.7,30.2
2005,-39.4,32.1
2006,-40.6,32.7
2007,-40.7,32.2
2008,-39.3,32.2
2009,-38.5,31.5
2010,-41.7,34.4
2011,-42,32.5
2012,-42.7,31.3
2013,-40.7,31.6
2014,-42.5,34.4
